id,host_name,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,number_of_reviews,last_review,review_scores_rating
10599633,Jeremiah,within an hour,t,Highland,Highland,80211,39.7618,-105.01691,Townhouse,Entire home/apt,4,1,1,1,,$79.00 ,207,4/7/19,96
10634565,Sarah,within an hour,t,Capitol Hill,Capitol Hill,80218,39.73156,-104.97895,Guest suite,Entire home/apt,4,1,1,1,,$75.00 ,373,4/16/19,96
10655290,Dakota,within an hour,f,City Park West,City Park West,80206,39.74387,-104.96249,Apartment,Entire home/apt,4,1,2,2,,$105.00 ,192,4/19/19,87
10674874,Matina,within an hour,t,Five Points,Five Points,80205,39.76101,-104.97492,House,Entire home/apt,4,1,2,2,,$120.00 ,226,4/11/19,98
10677661,Kevin,N/A,t,Baker,Baker,80223,39.72051,-104.993,Bungalow,Entire home/apt,4,1,2,2,,$145.00 ,37,2/24/19,98
10704273,Angie,within a few hours,f,Sloane Lake,Sloan Lake,80212,39.75391,-105.04301,House,Private room,4,1,2,1,,$82.00 ,6,4/21/19,97
10706175,Ryan,N/A,f,North Capitol Hill,North Capitol Hill,80203,39.74334,-104.97864,Apartment,Entire home/apt,1,1,1,1,,$75.00 ,0,,
10708543,Melissa,within a few hours,f,Hampden,Hampden,80231,39.6589,-104.90165,Condominium,Entire home/apt,3,1,1,1,,$60.00 ,7,3/6/19,89
10709107,Mekonnen,within an hour,t,Gateway / Green Valley Ranch,Gateway - Green Valley Ranch,80249,39.77372,-104.75231,House,Entire home/apt,6,1,2,2,,$99.00 ,26,7/26/18,98
10730155,Aeric,within an hour,t,Whittier,Whittier,80205,39.75127,-104.96405,House,Private room,2,1.5,1,1,,$115.00 ,31,9/23/18,97
10747925,Billy,within a day,f,Capitol Hill,Capitol Hill,80218,39.7352,-104.97442,House,Entire home/apt,8,2,3,3,,$222.00 ,98,4/21/19,95
10810898,Leo,N/A,f,City Park West,City Park West,80218,39.74247,-104.97057,House,Entire home/apt,2,1,1,1,,$600.00 ,2,6/9/17,60
10828998,Susan,within an hour,f,Five Points,Five Points,80205,39.74762,-104.98331,House,Entire home/apt,12,2,5,10,,$597.00 ,26,4/4/19,95
10833777,Edwin,within an hour,f,Capitol Hill,Capitol Hill,,39.73226,-104.98088,Condominium,Entire home/apt,3,2,2,2,,$79.00 ,2,2/11/17,90
10858251,Yousef,within an hour,t,Whittier,Whittier,80205,39.76031,-104.97076,Townhouse,Entire home/apt,5,1,2,2,,$90.00 ,304,4/23/19,93
10862257,Kendra,within an hour,t,Berkeley,Berkeley,80211,39.77597,-105.02693,Guest suite,Entire home/apt,3,1,1,2,,$63.00 ,147,4/21/19,97
10927209,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75231,-104.99133,Hostel,Private room,2,1,1,1,,$115.00 ,6,4/2/19,100
10927436,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75287,-104.99083,Hostel,Shared room,4,2,1,4,,$55.00 ,26,4/19/19,95
10927557,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75212,-104.99101,Hostel,Shared room,5,2,1,5,,$45.00 ,42,4/17/19,96
10927718,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75232,-104.99109,Hostel,Shared room,6,2,1,6,,$60.00 ,10,10/12/17,92
10927816,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75215,-104.99113,Hostel,Shared room,6,2,1,6,,$47.00 ,30,4/10/19,98
10927867,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75284,-104.99136,Hostel,Shared room,7,2,1,7,,$45.00 ,20,4/4/19,90
10927919,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75321,-104.99239,Hostel,Shared room,8,2,1,8,,$43.00 ,25,10/8/18,93
10927966,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75381,-104.99309,Hostel,Shared room,9,2,1,9,,$45.00 ,40,4/21/19,97
10928009,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75226,-104.99084,Hostel,Shared room,9,2,1,9,,$45.00 ,8,5/28/17,98
10928100,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75352,-104.9915,Hostel,Shared room,10,2,1,10,,$45.00 ,37,4/17/19,93
10995273,Dan,within an hour,t,Cole,Cole,80205,39.77116,-104.96779,Apartment,Entire home/apt,6,2,2,3,,$185.00 ,110,2/18/19,97
11037671,Jack,within an hour,t,Sloane Lake,Sloan Lake,80214,39.75638,-105.05263,Townhouse,Entire home/apt,4,1,2,2,,$94.00 ,140,3/14/19,97
11042635,Carlos,within a few hours,f,West Highland,West Highland,80212,39.76309,-105.04458,House,Entire home/apt,8,3.5,4,4,,$170.00 ,2,1/1/17,100
11048504,Jason,within a few hours,t,Jefferson Park,Jefferson Park,80211,39.75707,-105.02122,House,Entire home/apt,6,2,3,3,,$175.00 ,37,4/20/19,99
11065664,Jaclyn E,within an hour,f,Hilltop,Hilltop,80220,39.72289,-104.90709,House,Private room,2,1,1,1,,$57.00 ,43,8/31/18,97
11070296,Troy,N/A,f,Five Points,Five Points,80205,39.75238,-104.98666,Apartment,Entire home/apt,3,1,1,2,,$88.00 ,14,9/8/16,97
11080835,Rebecca,within an hour,t,Clayton,Clayton,80205,39.76749,-104.95406,House,Private room,2,1,1,1,,$42.00 ,289,4/23/19,100
11119735,Jessica,within an hour,f,Cole,Cole,80205,39.76305,-104.97115,Bungalow,Private room,4,1,2,3,,$120.00 ,14,3/24/19,94
11120331,Jessica,within an hour,f,Cole,Cole,80205,39.76479,-104.97205,Bungalow,Entire home/apt,6,2,3,4,,$209.00 ,94,4/14/19,96
11123088,Sean,within an hour,t,Sloane Lake,Sloan Lake,80211,39.75756,-105.02659,House,Entire home/apt,4,1,2,2,,$126.00 ,91,2/24/19,98
11127739,Eric,within an hour,t,Berkeley,Berkeley,80212,39.76984,-105.04346,Loft,Entire home/apt,7,1.5,2,2,,$125.00 ,201,4/12/19,99
11139532,Christopher,N/A,f,Clayton,Clayton,80205,39.76353,-104.9487,House,Entire home/apt,6,1.5,3,3,,$141.00 ,58,1/28/18,99
11148272,Kristina,N/A,f,West Colfax,West Colfax,80204,39.73963,-105.04501,House,Entire home/apt,4,1,2,2,,$99.00 ,3,7/30/16,100
11191271,Christopher,N/A,f,City Park West,City Park West,80206,39.74126,-104.96607,Townhouse,Entire home/apt,4,2,2,2,,$147.00 ,19,9/27/16,100
11192056,Kinga,within an hour,t,City Park West,City Park West,80218,39.74137,-104.97185,Apartment,Entire home/apt,5,1,2,3,,$139.00 ,292,4/1/19,97
11236853,Wendy,within an hour,t,Indian Creek,Indian Creek,80231,39.68895,-104.89895,House,Private room,6,1,1,1,,$29.00 ,100,4/8/19,99
11240044,Greg,within an hour,t,Elyria Swansea,Elyria Swansea,80216,39.77854,-104.94893,House,Entire home/apt,6,1,2,3,,$150.00 ,103,4/11/19,96
